iter	MultiClass
0	2.824303297
1	2.711599266
2	2.630585921
3	2.55897322
4	2.502083414
5	2.45469187
6	2.410763102
7	2.373115301
8	2.335990025
9	2.300465616
10	2.271686361
11	2.246748167
12	2.218474981
13	2.19422893
14	2.172006433
15	2.154134687
16	2.137603643
17	2.119548093
18	2.106506806
19	2.091405989
20	2.077464768
21	2.060839096
22	2.047230893
23	2.03765889
24	2.026833302
25	2.017979824
26	2.006126616
27	1.995449812
28	1.983536446
29	1.971434589
30	1.962041634
31	1.953569663
32	1.947659198
33	1.93745811
34	1.92957746
35	1.920339289
36	1.912758511
37	1.902325738
38	1.897873968
39	1.892054823
40	1.883224612
41	1.877487756
42	1.871589342
43	1.865923973
44	1.860236041
45	1.852577223
46	1.847429438
47	1.841669281
48	1.8358927
49	1.828676233
50	1.824153394
51	1.819005479
52	1.815059411
53	1.810279861
54	1.805443779
55	1.801856253
56	1.79775725
57	1.793497759
58	1.790205381
59	1.786151354
60	1.780313104
61	1.776229702
62	1.772819695
63	1.76942845
64	1.765621252
65	1.760197394
66	1.756475598
67	1.753099396
68	1.75038202
69	1.746446475
70	1.743756953
71	1.740765752
72	1.737659919
73	1.734663907
74	1.73191096
75	1.729641952
76	1.725018801
77	1.722430068
78	1.71969466
79	1.717074043
80	1.714225627
81	1.711450613
82	1.70881211
83	1.705201878
84	1.703766747
85	1.701230591
86	1.698118363
87	1.694202423
88	1.691919006
89	1.689258829
90	1.686804251
91	1.685344567
92	1.683188206
93	1.679814926
94	1.676791862
95	1.674834851
96	1.672760984
97	1.669495346
98	1.66723107
99	1.665103586
100	1.663229052
101	1.661204475
102	1.658749917
103	1.657111937
104	1.655545032
105	1.65410633
106	1.652269198
107	1.650299137
108	1.648195407
109	1.644944894
110	1.642135748
111	1.640217002
112	1.637950759
113	1.635540869
114	1.633331039
115	1.632005381
116	1.630711497
117	1.62951322
118	1.627733996
119	1.625679406
120	1.622153105
121	1.620911936
122	1.619001968
123	1.616861901
124	1.616153995
125	1.614632391
126	1.612478878
127	1.610877812
128	1.609642471
129	1.608707217
130	1.606201782
131	1.605231052
132	1.603887734
133	1.602833732
134	1.601437154
135	1.600098834
136	1.599073298
137	1.597956162
138	1.59644285
139	1.59507741
140	1.593430008
141	1.59233118
142	1.591058598
143	1.58996322
144	1.588575749
145	1.587361432
146	1.586304722
147	1.58464279
148	1.583401523
149	1.581877268
150	1.580493653
151	1.577517159
152	1.576179533
153	1.574191635
154	1.573126556
155	1.571745448
156	1.57026842
157	1.568863569
158	1.567583414
159	1.566163405
160	1.564851815
161	1.563208971
162	1.561926164
163	1.560278473
164	1.559354574
165	1.558147625
166	1.557076833
167	1.555905853
168	1.5545768
169	1.552919584
170	1.550552921
171	1.549271742
172	1.548078368
173	1.546949185
174	1.545976414
175	1.54505102
176	1.543710904
177	1.541995773
178	1.54124151
179	1.539901237
180	1.538346592
181	1.537282513
182	1.5364083
183	1.535286587
184	1.533868303
185	1.531709913
186	1.531006914
187	1.529582748
188	1.528073434
189	1.526639191
190	1.525717659
191	1.524056271
192	1.52299494
193	1.521502796
194	1.520388811
195	1.519304669
196	1.518630898
197	1.517449718
198	1.515790784
199	1.514213733
200	1.512895095
201	1.512109061
202	1.511007599
203	1.509769237
204	1.508896288
205	1.507961305
206	1.506913107
207	1.506030374
