iter	Passed	Remaining
0	192	192180
1	246	123210
2	298	99349
3	351	87491
4	402	79998
5	454	75264
6	505	71643
7	554	68804
8	607	66853
9	671	66449
10	720	64770
11	775	63855
12	825	62676
13	873	61533
14	918	60329
15	963	59268
16	1008	58341
17	1054	57518
18	1098	56711
19	1142	55999
20	1187	55367
21	1233	54852
22	1289	54783
23	1343	54620
24	1388	54142
25	1429	53545
26	1475	53176
27	1522	52849
28	1569	52538
29	1616	52258
30	1662	51958
31	1709	51716
32	1754	51410
33	1794	50988
34	1839	50707
35	1882	50406
36	1927	50160
37	1972	49935
38	2016	49678
39	2058	49393
40	2101	49160
41	2141	48843
42	2184	48618
43	2229	48443
44	2285	48511
45	2338	48498
46	2383	48323
47	2425	48112
48	2468	47918
49	2515	47785
50	2555	47554
51	2598	47381
52	2641	47192
53	2682	47000
54	2727	46857
55	2769	46693
56	2814	46566
57	2859	46439
58	2902	46284
59	2943	46117
60	2987	45984
61	3028	45814
62	3070	45674
63	3113	45530
64	3154	45378
65	3199	45275
66	3243	45164
67	3300	45238
68	3348	45178
69	3393	45082
70	3436	44961
71	3478	44830
72	3519	44695
73	3561	44563
74	3602	44434
75	3644	44311
76	3686	44191
77	3727	44065
78	3771	43968
79	3816	43889
80	3862	43820
81	3903	43695
82	3944	43583
83	3986	43469
84	4029	43377
85	4071	43266
86	4114	43176
87	4154	43057
88	4198	42977
89	4244	42911
90	4302	42979
91	4348	42914
92	4388	42802
93	4432	42718
94	4476	42646
95	4518	42553
96	4562	42471
97	4607	42406
98	4650	42327
99	4692	42236
100	4735	42150
101	4776	42048
102	4817	41951
103	4856	41844
104	4899	41763
105	4944	41700
106	4990	41647
107	5035	41586
108	5075	41490
109	5116	41397
110	5158	41316
111	5201	41240
112	5244	41167
113	5300	41198
114	5349	41165
115	5391	41084
116	5430	40984
117	5470	40888
118	5512	40809
119	5551	40711
120	5596	40653
121	5637	40574
122	5679	40498
123	5721	40420
124	5762	40340
125	5804	40264
126	5848	40203
127	5893	40151
128	5935	40077
129	5979	40016
130	6021	39947
131	6063	39872
132	6105	39798
133	6145	39713
134	6186	39640
135	6230	39581
136	6282	39575
137	6334	39569
138	6379	39514
139	6419	39432
140	6459	39353
141	6503	39298
142	6546	39231
143	6587	39156
144	6626	39076
145	6668	39005
146	6711	38944
147	6754	38881
148	6794	38804
149	6835	38735
150	6878	38675
151	6921	38617
152	6964	38556
153	7007	38498
154	7048	38423
155	7093	38377
156	7139	38336
157	7185	38293
158	7230	38245
159	7289	38271
160	7342	38261
161	7387	38214
162	7431	38158
163	7474	38102
164	7517	38041
165	7560	37984
166	7603	37924
167	7645	37863
168	7687	37801
169	7729	37737
170	7773	37684
171	7815	37623
172	7855	37553
173	7897	37490
174	7941	37437
175	7981	37366
176	8021	37298
177	8060	37222
178	8104	37171
179	8162	37183
180	8209	37147
181	8268	37163
182	8320	37148
183	8366	37104
184	8408	37043
185	8450	36981
186	8492	36921
187	8533	36857
188	8577	36804
189	8618	36743
190	8658	36674
191	8699	36610
192	8745	36567
193	8791	36524
194	8835	36474
195	8877	36416
196	8920	36359
197	8963	36307
198	9008	36261
199	9051	36206
200	9093	36147
201	9134	36086
202	9175	36022
203	9223	35988
204	9283	36003
205	9336	35984
206	9380	35935
207	9420	35869
208	9462	35811
209	9501	35745
210	9547	35701
211	9589	35645
212	9633	35594
213	9674	35534
214	9719	35486
215	9760	35427
216	9801	35366
217	9844	35313
218	9887	35261
219	9933	35218
220	9977	35171
221	10019	35114
222	10062	35059
223	10104	35004
224	10146	34948
225	10184	34881
226	10231	34841
227	10288	34834
228	10335	34798
229	10379	34749
230	10423	34699
231	10465	34644
232	10508	34590
233	10551	34540
234	10596	34494
235	10639	34444
236	10683	34393
237	10725	34339
238	10766	34282
239	10807	34223
240	10847	34161
241	10887	34102
242	10927	34043
243	10971	33994
244	11013	33940
245	11054	33882
246	11099	33836
247	11138	33776
248	11181	33725
